prog_code,prog_desc,iss_code,iss_desc,lev1_code,lev1_desc,lev2_code,lev2_desc,lev3_code,lev3_desc
11,NCA Burial benefits (38 CFR Part 38),01,Entitlement,18,Other,,,,
12,Fiduciary,01,Fiduciary Appointment,,,,,,
10,BVA Original Jurisdiction,01,Attorney fees/expenses,02,Reasonableness,,,,
10,BVA Original Jurisdiction,02,CUE under 38 U.S.C.  7111,01,Compensation,,,,
10,BVA Original Jurisdiction,02,CUE under 38 U.S.C.  7111,02,Pension,,,,
10,BVA Original Jurisdiction,02,CUE under 38 U.S.C.  7111,03,Other,,,,
10,BVA Original Jurisdiction,03,Motions,01,Rule 608 motion to withdraw,,,,
10,BVA Original Jurisdiction,03,Motions,02,"Rule 702, 704, or 717 motion for new hearing date",,,,
10,BVA Original Jurisdiction,03,Motions,03,Rule 711 motion to issue or quash subpoena,,,,
10,BVA Original Jurisdiction,03,Motions,04,Rule 716 motion for correction of hearing transcri,,,,
10,BVA Original Jurisdiction,03,Motions,05,Rule 900 motion to advance on docket,,,,
10,BVA Original Jurisdiction,03,Motions,06,Rule 904 motion to vacate,,,,
10,BVA Original Jurisdiction,03,Motions,07,Rule 1001 motion for reconsideration,,,,
10,BVA Original Jurisdiction,03,Motions,08,Rule 1304(b) motion,01,Evidence submission,,
10,BVA Original Jurisdiction,03,Motions,08,Rule 1304(b) motion,02,Hearing request,,
10,BVA Original Jurisdiction,03,Motions,08,Rule 1304(b) motion,03,Request to change representative,,
02,Compensation,16,Status as a veteran,02,Recognized service,,,,
02,Compensation,16,Status as a veteran,03,Other,,,,
02,Compensation,17,TDIU,01,Accrued,,,,
02,Compensation,17,TDIU,02,Entitlement,,,,
02,Compensation,17,TDIU,03,Termination,,,,
02,Compensation,18,Reductions,01,Rating reductions,01,Accrued,##,Diagnostic code
02,Compensation,18,Reductions,01,Rating reductions,02,Extraschedular,##,Diagnostic code
02,Compensation,18,Reductions,01,Rating reductions,03,Protection,,
02,Compensation,18,Reductions,01,Rating reductions,04,Schedular,##,Diagnostic code
02,Compensation,18,Reductions,01,Rating reductions,05,SMC,,
02,Compensation,18,Reductions,01,Rating reductions,06,Temporary total,,
02,Compensation,18,Reductions,01,Rating reductions,07,Other,,
02,Compensation,18,Reductions,02,Nonrating reductions,01,Incarcerated payee,,
02,Compensation,18,Reductions,02,Nonrating reductions,02,Institutionalized payee,,
02,Compensation,18,Reductions,02,Nonrating reductions,03,Removal of dependent,,
02,Compensation,18,Reductions,02,Nonrating reductions,04,Recoupment,,
02,Compensation,18,Reductions,02,Nonrating reductions,05,Other,,
02,Compensation,19,Specially adapted housing,01,Eligibility,,,,
02,Compensation,19,Specially adapted housing,02,Other,,,,
02,Compensation,20,Survivors & dependents educational assistance (Cha,01,Accrued,,,,
02,Compensation,20,Survivors & dependents educational assistance (Cha,02,Eligibility,,,,
02,Compensation,20,Survivors & dependents educational assistance (Cha,03,Other,,,,
02,Compensation,21,Willful misconduct/LOD,,,,,,
03,Education,01,Accrued,,,,,,
03,Education,02,Eligibility,01,38 U.S.C. ch. 30,,,,
02,Compensation,09,Effective date,06,Temporary total grant or termination,,,,
02,Compensation,09,Effective date,07,Other,,,,
02,Compensation,10,Forfeiture of benefits,,,,,,
02,Compensation,11,Increased rate for dependents,01,Accrued,,,,
02,Compensation,11,Increased rate for dependents,02,Adoption,,,,
02,Compensation,11,Increased rate for dependents,03,Helpless child,,,,
02,Compensation,11,Increased rate for dependents,04,Paternity,,,,
02,Compensation,11,Increased rate for dependents,05,Stepchild,,,,
02,Compensation,11,Increased rate for dependents,06,Validity of marriage,,,,
02,Compensation,11,Increased rate for dependents,07,Other,,,,
02,Compensation,12,Increased rating,01,10% under 38 C.F.R.  3.324,,,,
02,Compensation,12,Increased rating,02,Accrued,##,Diagnostic code,,
02,Compensation,12,Increased rating,03,Extraschedular,##,Diagnostic code,,
02,Compensation,12,Increased rating,04,Schedular,##,Diagnostic code,,
02,Compensation,12,Increased rating,05,SMC,,,,
02,Compensation,12,Increased rating,06,Temporary total,,,,
02,Compensation,12,Increased rating,07,Other,,,,
02,Compensation,13,Overpayment,01,Validity of debt,,,,
02,Compensation,13,Overpayment,02,Waiver,,,,
02,Compensation,14,Severance of service connection,01,Accrued,##,Diagnostic code,,
02,Compensation,14,Severance of service connection,02,Dental,,,,
02,Compensation,14,Severance of service connection,03,All others,##,Diagnostic code,,
02,Compensation,15,Service connection,01,Accrued,##,Diagnostic code,,
02,Compensation,15,Service connection,02,Dental,,,,
